epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,15169.2,1.26699,1.02473,2.15896,0.79482,0.74376,0.79191,0.67763,1.36293,1.88408,2.36065,0.0010405,0.0010405,0.0010405
183,15251.3,1.27429,1.00721,2.16863,0.80181,0.75313,0.79619,0.67953,1.36629,1.88084,2.3644,0.000991,0.000991,0.000991
184,15333,1.23561,0.99123,2.14768,0.80733,0.74226,0.79101,0.67797,1.36051,1.89907,2.36222,0.0009415,0.0009415,0.0009415
185,15415.5,1.24467,0.98797,2.15132,0.80698,0.74057,0.78806,0.67787,1.35086,1.91774,2.35327,0.000892,0.000892,0.000892
186,15498,1.23727,0.98924,2.14639,0.8041,0.74317,0.78074,0.67526,1.3462,1.91843,2.35323,0.0008425,0.0008425,0.0008425
187,15580.5,1.23403,0.96894,2.14946,0.79999,0.7392,0.77923,0.67379,1.34468,1.93573,2.3535,0.000793,0.000793,0.000793
188,15663.8,1.22076,0.96165,2.12984,0.80603,0.73801,0.78174,0.67465,1.34072,1.94394,2.34822,0.0007435,0.0007435,0.0007435
189,15747.1,1.22486,0.97011,2.14863,0.8138,0.7403,0.78371,0.67351,1.34255,1.95032,2.35323,0.000694,0.000694,0.000694
190,15830.7,1.24574,0.96813,2.14643,0.8103,0.74194,0.78226,0.67215,1.34356,1.9639,2.3536,0.0006445,0.0006445,0.0006445
191,15912.5,0.75705,0.47243,1.83534,0.80916,0.73469,0.78105,0.67296,1.34258,1.9686,2.36297,0.000595,0.000595,0.000595
192,15991.9,0.71233,0.43322,1.79173,0.81406,0.73061,0.78429,0.67684,1.35058,1.94696,2.36795,0.0005455,0.0005455,0.0005455
193,16072.6,0.72335,0.42711,1.81043,0.81548,0.73305,0.78643,0.67638,1.35066,1.95189,2.36291,0.000496,0.000496,0.000496
194,16151.6,0.72376,0.42136,1.80813,0.81212,0.72726,0.78523,0.67902,1.3529,1.95133,2.37108,0.0004465,0.0004465,0.0004465
195,16231.4,0.71151,0.40934,1.78938,0.81078,0.72774,0.78477,0.67818,1.35183,1.94772,2.36941,0.000397,0.000397,0.000397
196,16310.9,0.70194,0.40604,1.79503,0.80718,0.73657,0.7854,0.67857,1.35259,1.95891,2.3604,0.0003475,0.0003475,0.0003475
197,16390.4,0.70493,0.41412,1.79511,0.80815,0.73441,0.78522,0.6775,1.35609,1.95808,2.36137,0.000298,0.000298,0.000298
198,16468.7,0.6924,0.3861,1.77936,0.80387,0.73957,0.78579,0.6793,1.35392,1.95753,2.35806,0.0002485,0.0002485,0.0002485
199,16547.2,0.69404,0.39204,1.79256,0.80694,0.7329,0.78374,0.67761,1.35742,1.96479,2.35844,0.000199,0.000199,0.000199
200,16626.1,0.68946,0.38402,1.78453,0.80751,0.72738,0.78335,0.67822,1.35595,1.96793,2.35735,0.0001495,0.0001495,0.0001495
